70286,70449,81.7,81.7
71241,71346,79.2,79.2
71758,71887,79.2,79.2
72565,72667,74.25,74.25
73235,73403,74.25,74.25
73546,73659,72,72
73880,74092,72,72
74602,74756,76.5,76.5
76158,76250,76.8,76.8
76637,76768,76.8,76.8
77606,77711,62.4,62.4
78131,78286,62.4,62.4
78715,78883,68.45,68.45
79326,79476,68.45,68.45
80321,80420,85.8,85.8
80827,80980,85.8,85.8
82136,82253,81.6,81.6
82636,82773,81.6,81.6
83427,83545,21.6,21.6
84855,84940,71.75,71.75
85325,85458,71.75,71.75
86297,86381,73.6,73.6
86808,86930,73.6,73.6
87617,87715,99.75,99.75
88000,88407,99.75,99.75
89003,89142,88.8,88.8
90440,90565,76.8,76.8
90928,91041,76.8,76.8
91856,91956,78.4,78.4
92375,92490,78.4,78.4
93370,93493,70.95,70.95
93855,93981,70.95,70.95
94812,94927,59.2,59.2
95423,95562,59.2,59.2
96180,96259,40,40
98885,98984,66,66
99373,99519,66,66
100000,100109,100.8,100.8
100548,100952,100.8,100.8
101525,101647,75.9,75.9
102016,102159,75.9,75.9
102634,102752,83.25,83.25
103154,103288,83.25,83.25
103771,103921,52.5,52.5
105481,105603,18.15,18.15
107603,107710,76.8,76.8
108232,108362,76.8,76.8
108915,109023,87.45,87.45
109576,109717,87.45,87.45
110494,110598,64.8,64.8
111161,111374,64.8,64.8
112214,112356,57.6,57.6
112904,113061,57.6,57.6
113682,113799,52.8,52.8
114240,114400,52.8,52.8
115332,115441,82.5,82.5
115914,116228,82.5,82.5
117119,117232,75.9,75.9
117782,117897,75.9,75.9
118770,118870,80,80
119351,119599,80,80
120249,120343,81.6,81.6
120754,120885,81.6,81.6
121529,121622,64.35,64.35
123052,123141,81.6,81.6
123570,123689,81.6,81.6
124297,124420,72.6,72.6
125021,125111,72.6,72.6
125896,126003,55.8,55.8
126633,126765,55.8,55.8
127399,127522,29.7,29.7
129404,129533,77.9,77.9
129768,130047,77.9,77.9
130063,130208,77.9,77.9
130720,130865,77.7,77.7
132224,132311,92.8,92.8
132779,132920,92.8,92.8
133647,133765,37.95,37.95
134181,134321,37.95,37.95
134867,135023,88.8,88.8
135455,135772,88.8,88.8
136327,136433,94.05,94.05
137935,138047,92.75,92.75
138457,138628,92.75,92.75
139350,139465,74.4,74.4
141044,141186,89.25,89.25
141687,141842,89.25,89.25
142480,142594,54.45,54.45
143050,143188,54.45,54.45
143779,143876,39.6,39.6
144952,145080,94.35,94.35
145715,145905,94.35,94.35
148650,148737,84.15,84.15
149222,149357,84.15,84.15
149787,149953,92.5,92.5
150376,150484,92.5,92.5
151139,151244,73.6,73.6
151647,152030,73.6,73.6
152496,152602,74.25,74.25
153124,153378,74.25,74.25
154050,154169,68.8,68.8
154425,154611,68.8,68.8
155352,155468,37.95,37.95
157175,157291,64,64
157697,157880,64,64
158582,158700,84.6,84.6
159112,159306,84.6,84.6
160091,160212,70.4,70.4
160645,160845,70.4,70.4
161455,161579,89.1,89.1
162864,162991,37.7,37.7
163479,163778,37.7,37.7
164735,164857,77.4,77.4
165335,165480,77.4,77.4
166550,166658,98.4,98.4
167111,167206,98.4,98.4
168023,168119,69.3,69.3
169467,169559,74.25,74.25
170019,170168,74.25,74.25
170886,171005,41.85,41.85
172317,172410,41.25,41.25
172893,173051,41.25,41.25
173865,173999,39.6,39.6
174942,175060,67.5,67.5
175547,175716,67.5,67.5
176284,176393,74.25,74.25
178153,178272,81,81
178770,178901,81,81
179760,179859,79.2,79.2
181302,181407,95.2,95.2
181964,182092,95.2,95.2
182424,182555,77.7,77.7
182960,183146,77.7,77.7
183752,183837,44.55,44.55
184272,184397,44.55,44.55
185164,185278,86.4,86.4
186518,186634,91.8,91.8
187095,187214,91.8,91.8
187825,187928,72,72
188125,188346,72,72
189252,189385,83.25,83.25
189936,190143,83.25,83.25
190866,190988,54.45,54.45
191459,191644,54.45,54.45
192521,192641,75.6,75.6
193920,194020,77.55,77.55
196747,196872,34.65,34.65
198241,198356,91.8,91.8
198766,199025,91.8,91.8
199580,199676,84.15,84.15
200140,200295,84.15,84.15
200972,201092,47.25,47.25
202333,202438,66,66
203601,203711,56.1,56.1
204182,204407,56.1,56.1
205505,205632,74.25,74.25
206116,206247,74.25,74.25
206926,207033,81,81
207614,207743,81,81
208399,208495,85.8,85.8
208746,208928,85.8,85.8
209779,209893,89.1,89.1
210348,210498,89.1,89.1
211167,211281,72,72
211709,211849,72,72
212810,212941,48.6,48.6
214453,214577,84.15,84.15
215047,215156,84.15,84.15
215882,215977,64.35,64.35
216435,216626,64.35,64.35
217449,217575,66,66
218019,218167,66,66
218987,219089,69.75,69.75
220504,220618,37.95,37.95
221986,222090,42.9,42.9
222386,222706,42.9,42.9
223357,223485,49.5,49.5
224843,224954,96.35,96.35
225452,225591,96.35,96.35
226724,226836,85.8,85.8
228300,228398,79.2,79.2
228836,228964,79.2,79.2
229525,229625,79.2,79.2
230111,230298,79.2,79.2
230677,230805,80.85,80.85
231228,231546,80.85,80.85
232171,232258,81,81
232725,232870,81,81
233223,233384,99.9,99.9
233830,233949,99.9,99.9
234494,234611,89.1,89.1
235031,235140,89.1,89.1
235984,236109,61.05,61.05
237641,237780,39.6,39.6
238865,239025,61.5,61.5
239426,239638,61.5,61.5
240347,240469,66,66
240995,241096,66,66
241766,241886,64.35,64.35
245252,245369,81,81
245794,246037,81,81
247023,247129,86.4,86.4
247682,247853,86.4,86.4
248380,248480,74.25,74.25
248967,249086,74.25,74.25
249714,249828,86.4,86.4
250242,250514,86.4,86.4
251160,251284,51.15,51.15
252516,252639,73.6,73.6
253044,253176,73.6,73.6
254039,254135,67.2,67.2
254391,254601,67.2,67.2
255360,255513,94.35,94.35
256002,256189,94.35,94.35
257041,257143,84.6,84.6
258561,258675,81,81
259235,259341,81,81
260226,260334,68.8,68.8
260766,260928,68.8,68.8
261950,262073,86.4,86.4
262586,262715,86.4,86.4
263357,263534,66.6,66.6
263982,264120,66.6,66.6
264970,265087,86.4,86.4
265533,265732,86.4,86.4
266803,266897,84.6,84.6
268238,268336,72,72
268735,268898,72,72
269858,269984,60.45,60.45
270511,270691,60.45,60.45
271184,271357,66.6,66.6
271593,271816,66.6,66.6
272659,272740,69.3,69.3
273201,273330,69.3,69.3
274054,274170,84.6,84.6
274605,274890,84.6,84.6
275501,275652,79.8,79.8
276132,276305,79.8,79.8
277139,277244,86.4,86.4
277738,278130,86.4,86.4
278669,278788,93.6,93.6
279269,279416,93.6,93.6
279931,280033,72.6,72.6
280499,280637,72.6,72.6
281317,281415,70.2,70.2
281887,282280,70.2,70.2
282923,283035,97.2,97.2
283522,283680,97.2,97.2
284394,284495,81,81
284887,285005,81,81
285877,286001,64.35,64.35
287429,287535,84.15,84.15
288906,289028,75.2,75.2
289543,289678,75.2,75.2
290351,290470,46.8,46.8
291897,291971,70.2,70.2
292529,292776,70.2,70.2
